Locality,Type,Price,Rooms,Living area(m2),Plot(m2),Installed Kitchen,Furnished,Fireplace,Terrace,Terrace Surface(m2),Garden,Garden Surface(m2),No.Facades,Swimming Pool,Condition,Construction Year,Energy Label
Ronse,Town-house,359500€,5,304,270,0,0,,1,25,1,150,2,0,Good,1966,B
Wakken,House,329000€,2,500,600,0,,,,,,,2,,Good,,B
Gent,Villa,1595000€,8,468,1354,1,,,,,,,,,To renovate,1936,E
Soignies,House,149000€,4,165,110,1,0,,,,,,3,0,,,E
Leuven,House,298000€,2,50,38,1,,,1,17,,,2,,Good,,F
Temse,Villa,690000€,4,350,950,1,,1,1,50,1,800,4,,As new,1990,C
Zonhoven,Villa,725000€,,362,,0,,,,,,,,,As new,1976,D
Oud-turnhout,Villa,2950000€,5,475,4500,,,,1,,,,4,,,1998,C
Charleroi,House,100000€,2,105,16,,,,,,,,2,,To renovate,,E
Lasne,Apartment-block,1650000€,11,1269,2870,0,0,,1,40,1,2000,4,0,Good,1900,G
Charleroi,House,395000€,5,170,,,0,,1,,1,3000,4,0,Good,2010,B
Schilde,House,485000€,3,140,1440,0,,,1,,,,4,,,2003,C
Somme-leuze,House,1790000€,11,1250,2650,0,1,,1,,1,2600,4,1,As new,2004,D
Herseaux,House,65000€,2,109,181,,,,,,1,115,2,,To renovate,,E
Sprimont,House,285000€,4,229,430,0,0,,,,,,2,0,To renovate,1960,F
Ravels-poppel,House,625000€,4,250,1302,,0,,1,,,,4,0,,1976,C
Ciney,House,320000€,3,165,671,1,0,,,,,,4,0,As new,2023,A
Breendonk,House,435000€,3,150,479,1,,,1,24,1,200,4,,As new,,D
Schoten,House,2395000€,6,540,4162,0,0,,1,,,,4,0,As new,1956,C
Engis,Mixed-use-building,779000€,5,305,490,0,0,1,1,27,,,4,0,As new,2023,A
Wilrijk,House,375000€,3,110,115,0,,,1,30,1,33,,,Good,1955,D
Lontzen,House,235000€,3,160,428,1,0,,1,20,1,250,4,0,Good,1960,E
Denderleeuw,House,239000€,3,121,300,1,0,,1,24,1,217,2,0,To renovate,1933,E
Aspelare,House,1295000€,6,439,29270,,,,,,,,4,,Good,1850,C
Riemst,House,549000€,3,186,504,0,0,,1,,1,384,3,0,As new,2019,A
Lillois-witterzee,House,645000€,5,290,836,0,,1,1,90,,,4,,Good,1903,C
